soilTemperature,volumetric water content,electrical conductivity,Salinity,Total Dissolved Solids,dielectric constant,timestamp,datetime
23.17,100,460,253,230,81.87,1685730194,2023-06-02 12:23:14
23.15,100,460,253,230,81.87,1685730197,2023-06-02 12:23:17
23.17,100,460,253,230,81.87,1685730200,2023-06-02 12:23:20
23.15,100,460,253,230,81.87,1685730203,2023-06-02 12:23:23
23.17,100,460,253,230,81.87,1685730206,2023-06-02 12:23:26
23.17,100,460,253,230,81.87,1685730209,2023-06-02 12:23:29
23.17,100,460,253,230,81.87,1685730212,2023-06-02 12:23:32
23.15,100,460,253,230,81.87,1685730215,2023-06-02 12:23:35
23.15,100,460,253,230,81.87,1685730218,2023-06-02 12:23:38
23.17,100,460,253,230,81.87,1685730221,2023-06-02 12:23:41
23.17,100,460,253,230,81.87,1685730224,2023-06-02 12:23:44
23.17,100,460,253,230,81.87,1685730227,2023-06-02 12:23:47
23.17,100,460,253,230,81.87,1685730230,2023-06-02 12:23:50
23.17,100,460,253,230,81.87,1685730233,2023-06-02 12:23:53
23.17,100,460,253,230,81.87,1685730236,2023-06-02 12:23:56
23.17,100,460,253,230,81.87,1685730239,2023-06-02 12:23:59
23.17,100,460,253,230,81.87,1685730242,2023-06-02 12:24:02
23.15,100,460,253,230,81.87,1685730245,2023-06-02 12:24:05
23.17,100,460,253,230,81.87,1685730248,2023-06-02 12:24:08
23.17,100,460,253,230,81.87,1685730251,2023-06-02 12:24:11
23.17,100,460,253,230,81.87,1685730254,2023-06-02 12:24:14
23.17,100,460,253,230,81.87,1685730257,2023-06-02 12:24:17
23.17,100,460,253,230,81.87,1685730260,2023-06-02 12:24:20
23.17,100,460,253,230,81.87,1685730263,2023-06-02 12:24:23
23.17,100,460,253,230,81.87,1685730266,2023-06-02 12:24:26
23.17,100,460,253,230,81.87,1685730269,2023-06-02 12:24:29
23.17,100,460,253,230,81.87,1685730272,2023-06-02 12:24:32
23.17,100,460,253,230,81.87,1685730275,2023-06-02 12:24:35
23.17,100,460,253,230,81.87,1685730278,2023-06-02 12:24:38
23.17,100,460,253,230,81.87,1685730281,2023-06-02 12:24:41
23.17,100,460,253,230,81.87,1685730284,2023-06-02 12:24:44
23.15,100,460,253,230,81.87,1685730287,2023-06-02 12:24:47
23.17,100,460,253,230,81.87,1685730290,2023-06-02 12:24:50
23.17,100,460,253,230,81.87,1685730293,2023-06-02 12:24:53
23.17,100,460,253,230,81.87,1685730296,2023-06-02 12:24:56
23.17,100,460,253,230,81.87,1685730299,2023-06-02 12:24:59
23.17,100,460,253,230,81.87,1685730302,2023-06-02 12:25:02
23.17,100,460,253,230,81.87,1685730305,2023-06-02 12:25:05
23.17,100,460,253,230,81.87,1685730308,2023-06-02 12:25:08
23.17,100,460,253,230,81.87,1685730311,2023-06-02 12:25:11
23.17,100,460,253,230,81.87,1685730314,2023-06-02 12:25:14
23.17,100,460,253,230,81.87,1685730317,2023-06-02 12:25:17
23.17,100,460,253,230,81.87,1685730320,2023-06-02 12:25:20
23.17,100,460,253,230,81.87,1685730323,2023-06-02 12:25:23
23.17,100,460,253,230,81.87,1685730326,2023-06-02 12:25:26
23.17,100,460,253,230,81.87,1685730329,2023-06-02 12:25:29
23.17,100,460,253,230,81.87,1685730332,2023-06-02 12:25:32
23.17,100,460,253,230,81.87,1685730335,2023-06-02 12:25:35
23.17,100,460,253,230,81.87,1685730338,2023-06-02 12:25:38
23.17,100,460,253,230,81.87,1685730341,2023-06-02 12:25:41
23.17,100,460,253,230,81.87,1685730344,2023-06-02 12:25:44
23.17,100,460,253,230,81.87,1685730347,2023-06-02 12:25:47
23.17,100,460,253,230,81.87,1685730350,2023-06-02 12:25:50
23.17,100,460,253,230,81.87,1685730353,2023-06-02 12:25:53
23.17,100,460,253,230,81.87,1685730356,2023-06-02 12:25:56
23.17,100,460,253,230,81.87,1685730359,2023-06-02 12:25:59
23.17,100,460,253,230,81.87,1685730363,2023-06-02 12:26:03
23.17,100,460,253,230,81.87,1685730366,2023-06-02 12:26:06
23.17,100,460,253,230,81.87,1685730369,2023-06-02 12:26:09
23.17,100,460,253,230,81.87,1685730372,2023-06-02 12:26:12
23.17,100,460,253,230,81.87,1685730375,2023-06-02 12:26:15
23.17,100,460,253,230,81.87,1685730378,2023-06-02 12:26:18
23.17,100,460,253,230,81.87,1685730381,2023-06-02 12:26:21
23.17,100,460,253,230,81.87,1685730384,2023-06-02 12:26:24
23.17,100,460,253,230,81.87,1685730387,2023-06-02 12:26:27
23.17,100,460,253,230,81.87,1685730390,2023-06-02 12:26:30
23.17,100,460,253,230,81.87,1685730393,2023-06-02 12:26:33
23.17,100,460,253,230,81.87,1685730396,2023-06-02 12:26:36
23.17,100,460,253,230,81.87,1685730399,2023-06-02 12:26:39
23.17,100,460,253,230,81.87,1685730402,2023-06-02 12:26:42
23.17,100,460,253,230,81.87,1685730405,2023-06-02 12:26:45
23.17,100,460,253,230,81.87,1685730408,2023-06-02 12:26:48
23.17,100,460,253,230,81.87,1685730411,2023-06-02 12:26:51
23.17,100,460,253,230,81.87,1685730414,2023-06-02 12:26:54
23.17,100,460,253,230,81.87,1685730417,2023-06-02 12:26:57
23.17,100,460,253,230,81.87,1685730420,2023-06-02 12:27:00
23.17,100,460,253,230,81.87,1685730423,2023-06-02 12:27:03
23.17,100,460,253,230,81.87,1685730426,2023-06-02 12:27:06
